from_stop,to_stop,from_name,to_name,from_modes,to_modes,straight_distance_m,walk_distance_m,walk_time_s,is_sheltered,requires_road_crossing,signalised_crossing_delay_s,total_transfer_time_s,in_interchange_group,source
nisc001:2299128,nisc001:229987,Hobart Rd at Durham Rd,Hobart Rd at Durham Rd,other,other,57.2,71.4,57.2,0,0,0,57.2,0,modelled
nisc001:2299133,nisc001:229987,Railway Rd opp Astbury St,Hobart Rd at Durham Rd,other,other,146.8,183.5,146.8,0,1,22,168.8,0,modelled
nisc001:2299134,nisc001:229922,Dent St opp High St,Newcastle Rd opp St John the Evangelist Catholic Church,other,other,113.0,141.3,113.0,0,1,22,135.0,0,modelled
nisc001:2299134,nisc001:229960,Dent St opp High St,Hill St after Dent St,other,other,98.6,123.3,98.6,0,1,22,120.6,0,modelled
nisc001:2299134,nisc001:229961,Dent St opp High St,Hill St at Dent St,other,other,113.5,141.8,113.5,0,1,22,135.5,0,modelled
nisc001:2300100,nisc001:2300102,Wharf Rd opp Queens Wharf,Queens Wharf,other,ferry,84.3,105.3,84.3,0,1,22,106.3,0,modelled
nisc001:2300100,nisc001:2300114,Wharf Rd opp Queens Wharf,"Queens Wharf, Wharf Rd",other,other,55.7,69.7,55.7,0,0,0,55.7,0,modelled
nisc001:2300101,nisc001:230078,Light St at Tooke St,Fenton Ave at Light St,other,other,107.0,133.7,107.0,0,1,22,129.0,0,modelled
nisc001:2300101,nisc001:230079,Light St at Tooke St,Light St at Tooke St,other,other,26.2,32.7,26.2,0,0,0,26.2,0,modelled
nisc001:2300101,nisc001:230080,Light St at Tooke St,Fenton Ave at Light St,other,other,137.3,171.6,137.3,0,1,22,159.3,0,modelled
nisc001:2300102,nisc001:230040,Queens Wharf,King St at Perkins St,ferry,other,272.2,340.2,272.2,0,1,22,294.2,0,modelled
nisc001:2300102,nisc001:230042,Queens Wharf,King St at Perkins St,ferry,other,288.7,360.8,288.7,0,1,22,310.7,0,modelled
nisc001:2300102,nisc001:230098,Queens Wharf,Wharf Rd opp Argyle St,ferry,other,395.8,494.7,395.8,0,1,22,417.8,0,modelled
nisc001:2300102,nisc001:2300114,Queens Wharf,"Queens Wharf, Wharf Rd",ferry,other,58.4,73.0,58.4,0,0,0,58.4,0,modelled
nisc001:2300106,nisc001:2300109,Honeysuckle Dr opp 36,36 Honeysuckle Dr,other,other,20.8,26.0,20.8,0,0,0,20.8,0,modelled
nisc001:2300109,nisc001:230226,36 Honeysuckle Dr,Hunter St after Bellevue St,other,other,132.7,165.8,132.7,0,1,22,154.7,0,modelled
nisc001:2300140,nisc001:230043,Scott St after Zara St,Parnell Pl opp Alfred St,other,other,97.6,121.9,97.6,0,1,22,119.6,0,modelled
nisc001:2303100,nisc001:230399,Stewart Ave opp Hebburn St,Stewart Ave at Hebburn St,other,other,29.0,36.3,29.0,0,0,0,29.0,0,modelled
nisc001:2303101,nisc001:230398,Stewart Ave opp Dumaresq St,Stewart Ave at Dumaresq St,other,other,44.1,55.2,44.1,0,0,0,44.1,0,modelled
nisc001:2303102,nisc001:2303121,"Hamilton South Public School, Stewart Ave",Stewart Ave at Alexander St,other,other,124.7,155.8,124.7,0,1,22,146.7,0,modelled
nisc001:2303103,nisc001:230385,Glebe Rd opp Merewether Public School,Fowler St before Hassall St,other,other,146.2,182.8,146.2,0,1,22,168.2,0,modelled
nisc001:2303103,nisc001:2303110,Glebe Rd opp Merewether Public School,Glebe Rd opp Neill Tce,other,other,56.0,70.0,56.0,0,0,0,56.0,0,modelled
nisc001:2303104,nisc001:230383,Glebe Rd opp Henry St,Fowler St at Beaumont St,other,other,145.1,181.4,145.1,0,1,22,167.1,0,modelled
nisc001:2303104,nisc001:230384,Glebe Rd opp Henry St,Fowler St after Beaumont St,other,other,128.5,160.6,128.5,0,1,22,150.5,0,modelled
nisc001:2303104,nisc001:2303109,Glebe Rd opp Henry St,Glebe Rd at Henry St,other,other,48.2,60.2,48.2,0,0,0,48.2,0,modelled
nisc001:2303105,nisc001:2303108,Glebe Rd opp Edward St,Glebe Rd at Edward St,other,other,23.6,29.5,23.6,0,0,0,23.6,0,modelled
nisc001:2303106,nisc001:2303107,Glebe Rd at Gordon Ave,Glebe Rd after City Rd,other,other,34.8,43.5,34.8,0,0,0,34.8,0,modelled
nisc001:2303109,nisc001:230384,Glebe Rd at Henry St,Fowler St after Beaumont St,other,other,145.3,181.6,145.3,0,1,22,167.3,0,modelled
nisc001:2303110,nisc001:230385,Glebe Rd opp Neill Tce,Fowler St before Hassall St,other,other,144.5,180.6,144.5,0,1,22,166.5,0,modelled
nisc001:2303111,nisc001:2303112,Glebe Rd at James St,Glebe Rd opp James St,other,other,60.3,75.4,60.3,0,1,22,82.3,0,modelled
nisc001:2303113,nisc001:2303114,Glebe Rd at Fellowes St,Glebe Rd at Chatham St,other,other,14.8,18.5,14.8,0,0,0,14.8,0,modelled
nisc001:2303124,nisc001:230346,Donald St at Bennett St,Donald St at Beaumont St,other,other,80.0,100.0,80.0,0,1,22,102.0,0,modelled
nisc001:2303124,nisc001:230351,Donald St at Bennett St,Beaumont St at Donald St,other,other,133.2,166.5,133.2,0,1,22,155.2,0,modelled
