stop_id,stop_name,stop_lat,stop_lon,modes_served,n_routes,location_type,parent_station,platform_geom,shelter,seating,real_time_info,step_free,platform_height_mm,interchange_group_id,attribute_source
nisc001:228292,Queen St before James St,-32.976974,151.64647,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228295,Mills St opp Jonathan St,-32.979948,151.65173,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228296,Mills St opp Gregory Pde,-32.97873,151.654481,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228297,Mills St before Bayview St,-32.977181,151.655706,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228298,Bayview St at Barbara St,-32.976485,151.65465,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228299,Bayview St opp Carwood Cl,-32.976993,151.652364,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228412,Main Rd after Parrot St,-32.947922,151.623235,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228413,Main Rd before Parrot St,-32.94789,151.623419,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228431,Lake Rd before Creek Reserve Rd,-32.94352,151.624201,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228432,Lake Rd opp Creek Reserve Rd,-32.944222,151.624168,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228433,Main Rd opp Albert Reserve,-32.954541,151.622497,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228434,Main Rd after Fourth St,-32.952235,151.623265,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228437,Lake Rd at Princess St,-32.935312,151.629471,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228438,Lake Rd after Park Ave,-32.932984,151.635758,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228439,Lake Rd at Victoria St,-32.935512,151.629509,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228441,Main Rd after First St,-32.950323,151.62349,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228442,Main Rd at Fourth St,-32.952877,151.623225,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228443,"Albert Reserve, Main Rd",-32.954713,151.622608,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228461,Lake Rd at McLaughlin St,-32.932911,151.63695,other,4,,,,-1,-1,-1,-1,0,,assumed
