SA1_CODE_2021,zone_tier,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
10602161615,core,..,34,34,74,10,79,46,0,49,29,0,29,12,0,12,6,0,6,162,42,210
10602161616,core,..,45,45,39,6,46,30,0,30,22,0,22,4,0,4,8,0,8,104,51,152
10602161617,core,..,13,13,44,0,44,38,0,38,40,0,40,15,0,15,13,0,13,146,13,158
10602161618,core,..,61,61,53,5,56,28,3,33,21,0,21,6,0,6,3,0,3,120,65,183
10602161619,core,..,40,40,64,5,67,49,0,48,37,0,37,20,0,20,4,0,4,179,43,221
10602161620,core,..,18,18,27,0,27,8,0,8,9,0,9,7,0,7,3,0,3,61,17,79
10602161701,core,..,136,136,155,3,156,23,0,23,28,0,28,13,0,13,4,0,4,226,137,366
10602161702,core,..,47,47,57,6,56,28,0,29,10,0,10,3,0,3,0,0,0,99,51,153
10602161703,core,..,54,54,75,3,85,49,0,55,52,0,52,30,0,30,3,0,3,215,61,278
10602161704,core,..,62,62,70,3,73,36,0,38,30,0,26,7,0,7,3,0,3,148,65,209
10602161705,core,..,45,45,64,3,64,32,3,33,29,0,29,7,0,7,0,0,0,128,47,180
10602161706,core,..,74,74,75,9,82,33,0,33,25,0,30,8,0,8,4,0,4,148,86,232
10602161707,core,..,70,70,71,0,77,34,0,34,27,0,27,9,0,9,6,0,6,154,67,221
10602161708,core,..,54,54,60,7,63,19,0,19,16,0,16,3,0,3,0,0,0,99,62,157
10602161709,core,..,31,31,30,0,33,13,0,13,7,0,7,0,0,0,7,0,7,67,32,99
10602161710,core,..,6,6,7,0,4,0,0,0,0,0,0,4,0,4,7,0,7,16,5,19
10602161711,core,..,76,76,37,0,41,26,0,26,14,0,14,4,0,4,6,0,6,84,76,161
10602161712,core,..,73,73,64,0,67,28,0,28,20,0,20,10,0,10,6,0,6,125,75,200
10602161713,core,..,34,34,70,0,76,49,0,49,39,0,39,28,0,28,4,0,4,193,36,232
10602161714,core,..,75,75,89,3,89,33,0,35,31,0,31,9,0,9,3,0,3,166,83,244
10602161715,core,..,65,65,53,9,59,33,0,33,13,0,17,4,0,4,3,0,3,107,68,179
10602161716,core,..,52,52,57,0,59,21,0,21,20,0,20,5,0,5,9,0,9,116,56,175
10602161717,core,..,41,41,45,0,45,15,0,15,21,0,21,12,0,12,8,0,8,93,41,135
10602161718,core,..,68,68,79,4,84,34,0,34,18,0,18,9,0,9,3,0,3,156,66,221
10602161719,core,..,15,15,71,0,73,34,0,34,49,0,49,17,0,17,8,0,8,183,17,197
10602161720,core,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10602161721,core,..,59,59,78,3,82,24,0,24,36,0,36,11,0,11,3,0,3,150,58,210
10602161722,core,..,34,34,43,3,37,0,0,8,0,0,0,0,0,0,0,0,0,44,39,79
10602161723,core,..,42,42,46,3,49,17,0,17,27,0,27,3,0,3,3,0,3,94,43,139
10602161801,core,..,64,64,86,13,97,29,0,34,22,0,27,4,0,3,0,0,0,149,75,224
10602161802,core,..,24,24,57,0,57,15,0,18,14,0,11,0,0,0,9,0,9,88,29,119
10602161803,core,..,10,10,39,8,40,33,0,31,37,0,37,23,0,23,5,0,3,130,15,147
10602161804,core,..,5,5,27,0,24,10,0,10,16,0,16,10,0,10,4,0,4,60,8,70
10602161805,core,..,6,6,32,3,34,21,0,21,31,0,31,18,0,18,0,0,0,103,7,113
10602161806,core,..,40,40,67,0,65,37,6,39,44,0,43,9,0,7,8,0,8,162,50,208
10602161807,core,..,11,11,52,0,51,23,0,23,43,0,43,15,0,15,8,0,8,143,8,151
10602161808,core,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10602161809,core,..,45,45,67,7,73,27,0,27,20,0,20,7,0,7,0,0,0,125,52,175
10602161810,core,..,14,14,46,3,50,28,3,32,27,0,27,6,0,6,4,0,4,114,16,135
10602161811,core,..,24,24,28,0,29,31,0,31,22,0,22,3,0,3,0,0,0,87,29,116
10602161812,core,..,24,24,44,0,44,27,0,27,27,0,27,7,0,7,9,0,9,114,24,140
10602161813,core,..,16,16,34,4,41,23,0,23,13,0,13,5,0,5,3,0,3,83,18,105
10602161814,core,..,3,3,36,0,36,8,0,8,9,0,9,3,0,3,3,0,3,63,3,61
10602161815,core,..,9,9,42,0,43,37,0,39,31,0,31,16,0,16,9,0,9,123,8,134
10602161816,core,..,22,22,69,0,70,26,0,26,32,0,32,14,0,14,7,0,7,143,25,171
10602161817,core,..,15,15,56,3,60,51,0,60,52,0,52,33,0,33,13,0,13,204,19,228
10602161818,core,..,9,9,46,5,49,37,0,37,55,0,55,22,0,22,3,0,3,166,8,176
10602161819,core,..,16,16,49,0,54,31,0,31,45,0,45,13,0,13,5,0,5,144,11,157
10602161820,core,..,0,0,18,0,24,17,0,17,25,0,25,13,0,13,7,0,7,78,7,85
10602161821,core,..,26,26,75,3,79,41,0,45,51,0,51,16,0,16,6,0,6,184,36,219
10602161822,core,..,38,38,47,11,59,27,0,27,37,0,37,6,0,6,0,0,0,129,46,169
10602161823,core,..,15,15,55,0,56,32,0,32,42,0,42,26,0,26,7,0,7,159,18,172
10602161824,core,..,23,23,32,12,40,15,0,15,10,0,10,5,0,5,0,0,6,61,31,95
10602161825,core,..,6,6,57,0,57,28,0,27,61,0,61,20,0,20,13,0,10,171,14,184
10602161826,core,..,9,9,53,0,47,17,0,17,19,0,19,12,0,12,8,0,8,107,10,121
10602161827,core,..,21,21,51,6,62,34,0,34,21,0,22,7,0,7,5,0,5,115,29,145
10602161828,core,..,11,11,41,0,36,26,0,24,31,0,31,12,0,12,3,0,3,113,10,121
10602161829,core,..,8,8,28,0,28,14,0,15,25,0,25,7,0,7,0,0,0,66,9,77
10602161830,core,..,23,23,22,7,32,18,3,14,17,0,17,3,0,3,8,0,8,61,26,93
10602161831,core,..,24,24,47,10,52,49,0,51,46,0,46,13,0,13,11,0,11,160,37,197
10602161832,core,..,7,7,39,0,39,35,0,40,54,0,54,19,0,19,3,0,3,156,12,166
10602161833,core,..,11,11,52,3,60,30,0,30,41,0,42,12,0,12,10,0,10,141,16,159
10602161834,core,..,45,45,70,4,75,32,0,32,20,0,23,12,0,12,7,0,7,154,48,193
10602161835,core,..,9,9,31,4,31,33,0,33,41,0,41,10,0,8,6,0,6,118,13,129
10602161836,core,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10602161837,core,..,4,4,33,0,31,26,0,22,29,0,29,18,0,18,13,0,13,116,9,122
10602161838,core,..,5,5,45,0,44,31,4,33,35,0,35,10,0,10,3,0,3,129,9,133
10602161839,core,..,34,34,34,3,37,20,0,20,16,0,16,7,0,7,3,0,3,75,36,111
10603111901,core,..,13,13,49,0,47,17,0,17,17,0,17,6,0,6,6,0,6,97,14,106
10603111902,core,..,16,16,40,5,44,33,0,33,33,0,33,6,0,6,6,0,6,117,23,139
10603111903,core,..,32,32,83,5,86,32,0,28,42,0,42,12,0,12,6,0,6,173,37,213
10603111904,core,..,20,20,57,6,64,21,0,21,17,0,17,9,0,9,5,0,5,111,24,136
10603111906,core,..,35,35,38,0,46,13,0,13,18,0,18,4,0,4,5,0,5,86,38,121
10603111907,core,..,84,84,188,5,190,7,0,7,4,0,4,3,0,3,0,0,0,205,86,288
10603111908,core,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10603111909,core,..,60,60,73,0,74,0,0,0,0,0,0,0,0,0,0,0,0,82,66,144
10603111910,core,..,52,52,102,5,105,13,0,13,9,0,7,8,0,8,9,0,9,129,57,193
10603111911,core,..,24,24,25,5,28,17,0,17,5,0,5,3,0,3,0,0,0,53,31,88
10603111912,core,..,21,21,40,0,39,20,0,21,8,0,8,7,0,7,5,0,5,79,23,99
10603111913,core,..,28,28,38,5,44,22,0,22,34,0,34,9,0,9,10,0,10,110,30,138
10603111914,core,..,26,26,52,3,55,20,0,20,23,0,23,8,0,8,4,0,4,101,30,131
10603111915,core,..,52,52,68,3,71,35,0,39,25,0,25,11,0,11,3,0,3,139,56,197
10603111916,core,..,31,31,45,6,49,22,3,28,20,0,20,8,0,8,7,0,7,103,44,141
10603111917,core,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10603111918,core,..,9,9,28,0,28,11,0,11,22,0,22,16,0,16,4,0,4,75,9,83
10603111919,core,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10603111921,core,..,47,47,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,45,62
10603111922,core,..,84,84,90,6,99,16,0,16,20,0,20,10,0,10,3,0,3,141,93,237
10603112001,core,..,0,0,3,0,3,3,0,3,4,0,4,0,0,0,0,0,0,9,0,9
10603112002,core,..,44,44,61,4,68,18,0,18,12,0,12,4,0,4,6,0,6,105,53,156
10603112003,core,..,49,49,50,4,50,12,0,12,12,0,12,8,0,8,0,0,0,80,49,127
10603112004,core,..,52,52,69,5,77,33,0,33,19,0,19,6,0,6,4,0,4,131,60,192
10603112005,core,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10603112006,core,..,80,80,95,8,106,22,0,22,20,0,20,15,0,14,11,0,11,162,92,255
10603112007,core,..,25,25,43,0,43,20,0,20,5,0,5,6,0,6,0,0,0,77,25,104
10603112008,core,..,49,49,102,10,110,22,0,19,28,0,28,12,0,13,8,0,8,164,62,225
10603112009,core,..,67,67,104,8,114,51,0,51,46,0,46,18,0,18,7,0,7,228,73,300
10603112010,core,..,71,71,89,11,98,30,0,30,27,0,27,14,0,14,17,0,17,164,80,238
10603112011,core,..,29,29,39,11,45,11,0,11,9,0,9,3,0,3,5,0,5,69,32,103
10603112012,core,..,29,29,64,0,66,20,0,20,16,0,16,5,0,5,4,0,4,110,37,142
