geography,source_file,FINANCIAL_YEAR,HH_LGA_ID,area_name,TRAVEL_PURPOSE,JOURNEYS_BY_MODE,PCT_OF_TOTAL_JOURNEYS,DISTANCE_BY_PURPOSE,PCT_OF_TOTAL_DISTANCE,JOURNEY_AVG_DISTANCE,JOURNEY_AVG_TIME,HH_SA3_ID
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,6400.0,Port Stephens,Other,3000,1.5,16000,0.6,6.0,10.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,6400.0,Port Stephens,Personal business,16000,8.8,90000,3.4,5.6,12.9,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,6400.0,Port Stephens,Serve passenger,36000,19.8,437000,16.5,12.1,26.4,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,6400.0,Port Stephens,Shopping,42000,22.8,329000,12.4,7.9,12.3,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,6400.0,Port Stephens,Social/recreation,39000,21.6,884000,33.3,22.4,27.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,6400.0,Port Stephens,Work related business,10000,5.4,416000,15.7,42.3,39.0,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,1720.0,Cessnock,Commute,21000,11.4,760000,27.5,35.5,40.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,1720.0,Cessnock,Education/childcare,22000,11.6,127000,4.6,5.8,12.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,1720.0,Cessnock,Other,5000,2.6,45000,1.6,9.3,14.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,1720.0,Cessnock,Personal business,14000,7.4,358000,13.0,26.0,29.4,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,1720.0,Cessnock,Serve passenger,67000,35.9,477000,17.3,7.1,10.3,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,1720.0,Cessnock,Shopping,18000,9.8,350000,12.7,19.0,23.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,1720.0,Cessnock,Social/recreation,35000,18.8,603000,21.8,17.1,21.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,1720.0,Cessnock,Work related business,5000,2.5,41000,1.5,8.7,13.9,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Commute,89000,13.3,1741000,26.8,19.5,30.6,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Education/childcare,46000,6.9,284000,4.4,6.1,17.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Other,10000,1.5,60000,0.9,6.0,17.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Personal business,67000,10.0,756000,11.7,11.3,21.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Serve passenger,108000,16.0,861000,13.3,8.0,15.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Shopping,125000,18.6,838000,12.9,6.7,13.6,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Social/recreation,178000,26.5,1258000,19.4,7.1,16.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Work related business,49000,7.3,686000,10.6,14.1,24.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,5050.0,Maitland,Commute,38000,21.3,826000,44.5,21.7,33.2,
