rel_id,restriction,from_way,via_member,to_way,lat,lon,located_by,source,dist_to_base2026_m,dist_to_S2c_m,dist_to_S4_m,dist_to_S5_m,corridor_flag
20059374,no_u_turn,84515003,981900965,1465288989,-32.9202608,151.7669984,via_node,osm,691.8,485.5,691.8,691.8,0
8150825,no_u_turn,573328862,573328861,570051317,-32.9246618,151.751365,via_way,osm,694.1,694.1,11.0,11.0,0
8172305,no_u_turn,173151633,1839787483,18397208,-32.9175881,151.759172,via_node,osm,714.4,714.4,714.4,714.4,0
3508803,only_left_turn,611263057,186780859,261326310,-32.9333592,151.7650435,via_node,osm,738.0,973.0,738.0,738.0,0
8150833,no_right_turn,261325293,1612632843,148163736,-32.9198335,151.7515071,via_node,osm,821.7,821.8,531.5,531.5,0
17719908,no_u_turn,1319724257,508425416,261326389,-32.9305435,151.7543947,via_way,osm,826.2,826.2,682.7,682.7,0
8117177,no_right_turn,508425416,1840986874,173254623,-32.9305435,151.7543947,via_node,osm,826.2,826.2,682.7,682.7,0
12194780,no_right_turn,895812943,8327006533,895812925,-32.9313748,151.753584,via_node,osm,943.8,943.8,756.8,756.8,0
12194781,only_left_turn,895812924,8327006530,895812944,-32.9314758,151.7534869,via_node,osm,958.0,958.0,765.9,765.9,0
11981526,no_right_turn,773876574,1835184020,881195486,-32.9185912,151.7505305,via_node,osm,976.6,976.7,659.2,659.2,0
20059372,no_u_turn,413096155,4144245133,413096156,-32.9170126,151.7660985,via_node,osm,992.3,835.5,992.3,992.3,0
20059373,no_u_turn,175704734,4144245130,413096154,-32.9168534,151.7660402,via_node,osm,1006.6,852.5,1006.6,1006.6,0
8116960,no_right_turn,1319724255,1840986894,532943008,-32.9351298,151.7618158,via_node,osm,1021.6,1195.1,1021.6,1021.6,0
17719907,no_u_turn,895812919,8327006516,508425425,-32.9320586,151.7529391,via_node,osm,1039.6,1039.6,819.1,819.1,0
8116961,no_right_turn,1319724254,186780760,398833279,-32.9353005,151.7616603,via_node,osm,1043.9,1215.1,1043.9,1043.9,0
17723636,no_u_turn,688558214,532943028,688558207,-32.9240866,151.7468675,via_way,osm,1110.9,1110.9,0.0,0.0,0
17723637,no_u_turn,688558215,532943028,307584583,-32.9240866,151.7468675,via_way,osm,1110.9,1110.9,0.0,0.0,0
13244979,no_u_turn,508425425,188528141,255347503,-32.9326065,151.7524381,via_node,osm,1115.8,1115.8,872.7,872.7,0
5991861,only_left_turn,398852800,188528141,398852810,-32.9326065,151.7524381,via_node,osm,1115.8,1115.8,872.7,872.7,0
18146890,only_left_turn,1322880343,1843655708,1322384423,-32.9168772,151.7494036,via_node,osm,1179.4,1179.4,826.7,826.7,0
8117182,no_u_turn,243292585,2507215744,243292584,-32.9378383,151.7658463,via_node,osm,1188.2,1459.4,1188.2,1188.3,0
8117181,no_u_turn,243292583,2507215769,243292586,-32.9384414,151.765296,via_node,osm,1264.6,1530.4,1264.6,1264.6,0
17719755,no_u_turn,1324859478,1292584086,1324859479,-32.9126009,151.7584844,via_way,osm,1264.9,1264.9,1264.9,1264.9,0
17719756,no_u_turn,1324859476,1292584086,1324859477,-32.9126009,151.7584844,via_way,osm,1264.9,1264.9,1264.9,1264.9,0
3517392,only_left_turn,173278212,1841234057,703370012,-32.9194135,151.745438,via_node,osm,1345.5,1345.6,484.7,484.7,0
3517401,only_left_turn,261966514,456930146,165819438,-32.9193111,151.7454616,via_node,osm,1347.9,1347.9,496.2,496.2,0
17719815,no_u_turn,688558209,1292587784,307584581,-32.9235563,151.7440482,via_way,osm,1375.4,1375.4,11.1,11.1,0
17719816,no_u_turn,688558204,1292587784,688558198,-32.9235563,151.7440482,via_way,osm,1375.4,1375.4,11.1,11.1,0
8150829,no_u_turn,200702447,272204102,39259458,-32.9278429,151.7441677,via_node,osm,1426.5,1426.5,454.0,454.0,0
5174381,no_right_turn,1324890926,176632833,1322802413,-32.9387529,151.7606237,via_node,osm,1437.3,1603.9,1437.3,1437.3,0
11880428,only_left_turn,870703387,6961664365,870703386,-32.9403716,151.7686438,via_node,osm,1442.1,1714.8,1442.1,1442.1,0
5174382,no_left_turn,1322983859,176632812,347014133,-32.9387158,151.7585443,via_node,osm,1494.7,1617.3,1494.7,1494.7,0
5174383,no_right_turn,398832521,176632812,398832534,-32.9387158,151.7585443,via_node,osm,1494.7,1617.3,1494.7,1494.7,0
12194540,only_left_turn,1322983860,8326749866,18298327,-32.9384825,151.7571323,via_node,osm,1517.0,1603.5,1486.0,1486.0,0
12194541,only_left_turn,895780489,188523436,398832521,-32.9386628,151.757178,via_node,osm,1534.0,1622.9,1505.1,1505.1,0
4107393,only_right_turn,573328880,1835178782,307524785,-32.9237908,151.7418915,via_node,osm,1576.1,1576.1,0.0,0.0,0
