building_id,lat,lon,footprint_m2,levels,levels_source,gross_floor_area_m2,building_type,shop,amenity,name,year
b1286386226,-32.9310136,151.7262235,72.9,1,assumed,72.9,house,,,,2026
b1286386227,-32.9310126,151.7261511,14.5,2,assumed,28.9,garage,,,,2026
b1286386228,-32.9308529,151.7263305,186.3,1,assumed,186.3,house,,,,2026
b1286386229,-32.9308182,151.7260176,18.3,2,assumed,36.6,shed,,,,2026
b1286386230,-32.9306415,151.7266489,126.6,1,assumed,126.6,house,,,,2026
b1286386231,-32.9305925,151.7266318,18.8,2,assumed,37.7,roof,,,,2026
b1286386232,-32.9308439,151.7264367,76.3,1,assumed,76.3,house,,,,2026
b1286386233,-32.9307949,151.7264264,41.8,2,assumed,83.7,roof,,,,2026
b1286386234,-32.9307203,151.7261342,34.5,2,assumed,69.0,garage,,,,2026
b847589642,-32.9279545,151.7224987,222.7,2,assumed,445.3,yes,,,,2026
b847589911,-32.927589,151.722376,243.9,2,assumed,487.7,yes,,,,2026
b1044382033,-32.9219015,151.7291086,4314.4,2,assumed,8628.8,yes,,,,2026
b1044382045,-32.9220625,151.7277305,327.2,2,assumed,654.4,yes,,,,2026
b1070119241,-32.9219138,151.7245592,448.9,2,assumed,897.9,yes,,,,2026
b1279856558,-32.9301979,151.7288701,569.3,3,assumed,1707.8,commercial,,,,2026
b1279856559,-32.9299775,151.7291463,854.9,2,assumed,1709.8,yes,,,Adamstown Motel,2026
b1284822693,-32.928517,151.7284444,20.2,2,assumed,40.4,roof,,,,2026
b1284822696,-32.9280904,151.7289036,60.0,2,assumed,120.0,yes,,,,2026
b1284822697,-32.9284642,151.7289556,353.8,1,assumed,353.8,house,,,,2026
b1284822706,-32.928847,151.728896,143.7,1,assumed,143.7,house,,,,2026
b1284822708,-32.9288145,151.7289544,24.0,2,assumed,48.0,garage,,,,2026
b306217225,-32.923023,151.7242649,531.1,3,assumed,1593.3,commercial,,,,2026
b306221141,-32.9232284,151.7272071,631.3,1,assumed,631.3,retail,,,,2026
b367204898,-32.9238616,151.7249462,1735.8,2,assumed,3471.5,yes,,,,2026
b367204899,-32.9244572,151.7251873,5435.5,2,assumed,10871.0,yes,,,,2026
b367204900,-32.9239184,151.724545,955.1,2,assumed,1910.2,yes,,,,2026
b367204901,-32.9244538,151.7243975,667.1,2,assumed,1334.1,yes,electronics,,CNW Electrical Wholesale,2026
b374040942,-32.9236382,151.72326,2629.3,2,assumed,5258.6,yes,,,,2026
b388782448,-32.9230526,151.7254306,848.5,2,assumed,1697.0,yes,,,KTM Newcastle,2026
b405098953,-32.9273522,151.7272625,3474.6,1,assumed,3474.6,industrial,,,Broadmeadow railcar maintenance centre,2026
b405098954,-32.9269947,151.7264857,511.5,1,assumed,511.5,industrial,,,,2026
b405098955,-32.9271381,151.7261384,97.1,1,assumed,97.1,industrial,,,,2026
b405098956,-32.9271096,151.7265525,264.2,1,assumed,264.2,industrial,,,,2026
b405098957,-32.9262814,151.7286972,106.7,2,assumed,213.5,yes,,,,2026
b405098958,-32.9263908,151.7271877,4637.9,1,assumed,4637.9,industrial,,,,2026
b405120619,-32.9281814,151.724726,366.0,2,assumed,732.0,yes,,,,2026
b405120621,-32.9251817,151.7251658,1123.8,2,assumed,2247.7,yes,,,,2026
b405120622,-32.9259922,151.7270681,157.2,2,assumed,314.4,yes,,,,2026
b405120624,-32.9262525,151.7261164,160.0,2,assumed,319.9,yes,,,,2026
b405120625,-32.9263521,151.7256058,1294.1,2,assumed,2588.2,yes,,,,2026
b405120627,-32.9268791,151.7258936,276.9,2,assumed,553.8,yes,,,,2026
b769872984,-32.9236967,151.724656,325.2,2,assumed,650.3,roof,,,,2026
b769872985,-32.9236866,151.7244876,120.7,2,assumed,241.4,yes,,cafe,Silver Car Wash Cafe,2026
b769872986,-32.9236077,151.7244818,53.3,2,assumed,106.6,roof,,,,2026
b769872987,-32.923611,151.7245903,80.1,2,assumed,160.3,roof,,,,2026
b769872988,-32.9239546,151.7254214,2238.7,3,assumed,6716.0,commercial,,,,2026
b769872989,-32.9239497,151.725726,496.3,1,assumed,496.3,retail,,,,2026
b769872995,-32.9235894,151.7239701,843.2,2.0,osm,1686.4,commercial,,,,2026
